,Article #,Total words,frequency
0,1,102,5
1,2,69,1
2,3,62,2
3,4,99,1
4,5,109,1
5,6,96,3
6,7,82,1
7,8,98,1
8,9,94,2
9,10,109,6
10,11,96,5
11,12,97,2
12,13,102,5
13,14,69,1
14,15,62,2
15,16,99,1
16,17,109,1
17,18,96,3
18,19,92,2
19,20,98,1
20,21,94,2
21,22,109,6
22,23,96,5
23,24,97,2
24,25,102,5
25,26,69,1
26,27,62,2
27,28,99,1
28,29,109,1
29,30,96,3
30,31,92,2
31,32,98,1
32,33,94,2
33,34,109,6
34,35,96,5
35,36,97,2
36,37,102,5
37,38,69,1
38,39,62,2
39,40,99,1
40,41,109,1
41,42,96,3
42,43,92,2
43,44,98,1
44,45,94,2
45,46,109,6
46,47,96,5
47,48,97,2
48,49,102,5
49,50,69,1
50,51,62,2
51,52,99,1
52,53,109,1
53,54,96,3
54,55,92,2
55,56,98,1
56,57,94,2
57,58,109,6
58,59,96,5
59,60,97,2
60,61,102,5
61,62,69,1
62,63,62,2
63,64,99,1
64,65,109,1
65,66,96,3
66,67,92,2
67,68,98,1
68,69,94,2
69,70,109,6
70,71,96,5
71,72,97,2
72,73,102,5
73,74,69,1
74,75,62,2
75,76,99,1
76,77,109,1
77,78,96,3
78,79,92,2
79,80,98,1
80,81,94,2
81,82,109,6
82,83,96,5
83,84,97,2
84,85,102,5
85,86,69,1
86,87,62,2
87,88,99,1
88,89,109,1
89,90,96,3
90,91,92,2
91,92,98,1
92,93,94,2
93,94,109,6
94,95,96,5
95,96,97,2
96,97,102,5
97,98,69,1
98,99,62,2
99,100,99,1
100,101,109,1
101,102,96,3
102,103,92,2
103,104,98,1
104,105,94,2
105,106,109,6
106,107,96,5
107,108,97,2
108,109,102,5
109,110,69,1
110,111,62,2
111,112,99,1
112,113,109,1
113,114,96,3
114,115,92,2
115,116,98,1
116,117,94,2
117,118,109,6
118,119,96,5
119,120,97,2
120,121,102,5
121,122,69,1
122,123,62,2
123,124,99,1
124,125,109,1
125,126,96,3
126,127,92,2
127,128,98,1
128,129,94,2
129,130,109,6
130,131,96,5
131,132,97,2
132,133,102,5
133,134,69,1
134,135,62,2
135,136,99,1
136,137,109,1
137,138,96,3
138,139,92,2
139,140,98,1
140,141,94,2
141,142,109,6
142,143,96,5
143,144,97,2
144,145,102,5
145,146,69,1
146,147,62,2
147,148,99,1
148,149,109,1
149,150,96,3
150,151,92,2
151,152,98,1
152,153,94,2
153,154,109,6
154,155,96,5
155,156,97,2
156,157,102,5
157,158,69,1
158,159,62,2
159,160,99,1
160,161,109,1
161,162,96,3
162,163,92,2
163,164,98,1
164,165,94,2
165,166,109,6
166,167,96,5
167,168,97,2
168,169,102,5
169,170,69,1
170,171,62,2
171,172,99,1
172,173,109,1
173,174,96,3
174,175,92,2
175,176,98,1
176,177,94,2
177,178,109,6
178,179,96,5
179,180,97,2
180,181,102,5
181,182,69,1
182,183,62,2
183,184,99,1
184,185,109,1
185,186,96,3
186,187,92,2
187,188,98,1
188,189,94,2
189,190,109,6
190,191,96,5
191,192,97,2
192,193,102,5
193,194,69,1
194,195,62,2
195,196,99,1
196,197,109,1
197,198,96,3
198,199,92,2
199,200,98,1
200,201,94,2
201,202,109,6
202,203,96,5
203,204,97,2
204,205,102,5
205,206,69,1
206,207,62,2
207,208,99,1
208,209,109,1
209,210,96,3
210,211,92,2
211,212,98,1
212,213,94,2
213,214,109,6
214,215,96,5
215,216,97,2
216,217,102,5
217,218,69,1
218,219,62,2
219,220,99,1
220,221,109,1
221,222,96,3
222,223,92,2
223,224,98,1
224,225,94,2
225,226,109,6
226,227,96,5
227,228,97,2
228,229,102,5
229,230,69,1
230,231,62,2
231,232,99,1
232,233,109,1
233,234,96,3
234,235,92,2
235,236,98,1
236,237,94,2
237,238,109,6
238,239,96,5
239,240,97,2
240,241,102,5
241,242,69,1
242,243,62,2
243,244,99,1
244,245,109,1
245,246,96,3
246,247,92,2
247,248,98,1
248,249,94,2
249,250,109,6
250,251,96,5
251,252,97,2
252,253,102,5
253,254,69,1
254,255,62,2
255,256,99,1
256,257,109,1
257,258,96,3
258,259,92,2
259,260,98,1
260,261,94,2
261,262,109,6
262,263,96,5
263,264,97,2
264,265,102,5
265,266,69,1
266,267,62,2
267,268,99,1
268,269,109,1
269,270,96,3
270,271,92,2
271,272,98,1
272,273,94,2
273,274,109,6
274,275,96,5
275,276,97,2
